"date","borough","ridership"
2025-02-06,"Queens",83974
2025-02-07,"Bronx",43767
2025-02-07,"Brooklyn",95763
2025-02-07,"Manhattan",121871
2025-02-07,"Queens",80025
2025-02-10,"Bronx",44053
2025-02-10,"Brooklyn",100798
2025-02-10,"Manhattan",123537
2025-02-10,"Queens",82718
2025-02-11,"Bronx",46243
2025-02-11,"Brooklyn",107584
2025-02-11,"Manhattan",130587
2025-02-11,"Queens",88246
2025-02-12,"Bronx",42833
2025-02-12,"Brooklyn",100979
2025-02-12,"Manhattan",126257
2025-02-12,"Queens",82595
2025-02-13,"Bronx",44379
2025-02-13,"Brooklyn",104754
2025-02-13,"Manhattan",127513
2025-02-13,"Queens",85676
2025-02-14,"Bronx",41392
2025-02-14,"Brooklyn",93746
2025-02-14,"Manhattan",118167
2025-02-14,"Queens",79010
2025-02-17,"Bronx",26219
2025-02-17,"Brooklyn",58973
2025-02-17,"Manhattan",77947
2025-02-17,"Queens",52318
2025-02-18,"Bronx",41256
2025-02-18,"Brooklyn",99272
2025-02-18,"Manhattan",127821
2025-02-18,"Queens",79839
2025-02-19,"Bronx",42039
2025-02-19,"Brooklyn",100818
2025-02-19,"Manhattan",129538
2025-02-19,"Queens",81824
2025-02-20,"Bronx",42023
2025-02-20,"Brooklyn",97833
2025-02-20,"Manhattan",126665
2025-02-20,"Queens",80850
2025-02-21,"Bronx",39091
2025-02-21,"Brooklyn",86963
2025-02-21,"Manhattan",112290
2025-02-21,"Queens",73950
2025-02-24,"Bronx",44218
2025-02-24,"Brooklyn",101037
2025-02-24,"Manhattan",122768
2025-02-24,"Queens",82916
2025-02-25,"Bronx",46473
2025-02-25,"Brooklyn",108021
2025-02-25,"Manhattan",129968
2025-02-25,"Queens",87076
2025-02-26,"Bronx",47500
2025-02-26,"Brooklyn",109217
2025-02-26,"Manhattan",133808
2025-02-26,"Queens",87501
2025-02-27,"Bronx",45589
2025-02-27,"Brooklyn",106180
2025-02-27,"Manhattan",131878
2025-02-27,"Queens",85199
2025-02-28,"Bronx",43433
2025-02-28,"Brooklyn",97430
2025-02-28,"Manhattan",120116
2025-02-28,"Queens",79014
2025-03-03,"Bronx",43668
2025-03-03,"Brooklyn",99990
2025-03-03,"Manhattan",127039
2025-03-03,"Queens",81448
2025-03-04,"Bronx",45506
2025-03-04,"Brooklyn",107171
2025-03-04,"Manhattan",132624
2025-03-04,"Queens",86201
2025-03-05,"Bronx",46553
2025-03-05,"Brooklyn",107331
2025-03-05,"Manhattan",133273
2025-03-05,"Queens",85783
2025-03-06,"Bronx",45641
2025-03-06,"Brooklyn",105088
2025-03-06,"Manhattan",132010
2025-03-06,"Queens",85359
2025-03-07,"Bronx",42334
2025-03-07,"Brooklyn",95032
2025-03-07,"Manhattan",123026
2025-03-07,"Queens",79176
2025-03-10,"Bronx",44089
2025-03-10,"Brooklyn",100736
2025-03-10,"Manhattan",126529
2025-03-10,"Queens",82351
2025-03-11,"Bronx",46658
2025-03-11,"Brooklyn",107582
2025-03-11,"Manhattan",135875
2025-03-11,"Queens",87537
2025-03-12,"Bronx",46846
2025-03-12,"Brooklyn",108661
2025-03-12,"Manhattan",138032
2025-03-12,"Queens",86985
2025-03-13,"Bronx",46056
2025-03-13,"Brooklyn",105582
2025-03-13,"Manhattan",134215
2025-03-13,"Queens",86008
2025-03-14,"Bronx",43083
2025-03-14,"Brooklyn",93326
2025-03-14,"Manhattan",122262
2025-03-14,"Queens",78324
2025-03-17,"Bronx",43110
2025-03-17,"Brooklyn",97576
2025-03-17,"Manhattan",125521
2025-03-17,"Queens",80110
2025-03-18,"Bronx",46588
2025-03-18,"Brooklyn",107200
2025-03-18,"Manhattan",136702
2025-03-18,"Queens",86894
2025-03-19,"Bronx",47944
2025-03-19,"Brooklyn",107893
2025-03-19,"Manhattan",138135
2025-03-19,"Queens",87287
2025-03-20,"Bronx",46446
2025-03-20,"Brooklyn",104157
2025-03-20,"Manhattan",134411
2025-03-20,"Queens",85579
2025-03-21,"Bronx",43519
2025-03-21,"Brooklyn",93451
2025-03-21,"Manhattan",123993
2025-03-21,"Queens",78601
2025-03-24,"Bronx",42433
2025-03-24,"Brooklyn",95418
2025-03-24,"Manhattan",124181
